,@mattertype,@welcome
1282,Eviction,evictio
1284,Eviction,Motion to dismiss
1285,Eviction,Eviction 
1286,Eviction,I have been given a 5 day notice and I will not have the money.
1293,Eviction,"My landlord refuses to help me with rental assistance and getting the correct paperwork, he is threatening eviction already."
1294,Eviction,Eviction 
1295,Eviction,Eviction 
1299,Eviction,My landlord is trying to evict me on a 30 day notice. I have explained my concerns of mold or mildew smell.
1305,Eviction,I need help I had a lawyer and I still got eviction orders for September 1st he promised to help me
1306,Eviction,eviction
1308,Eviction,non notarized eviction notice 
1315,Eviction,I am being evicted after 10 years of tenancy
1321,Eviction,Need help negotiating with landlord
1325,Eviction,does an eviction notice served before a new lease starts void the new lease? 
1327,Eviction,I need help filing a motion
1330,Eviction,Eviction 
1331,Eviction,Eviction Case
1332,Eviction,Eviction 
1333,Eviction,eviction
1334,Eviction,Can u direct me to a law for evictions
1338,Eviction,Eviction 
1342,Eviction,My landlord is retaliating against me for 311 complaints she gave me a 30 day notice to be out her apartment by August 15th. This is a ruff journey because I haven't found nothing yet and I'm not sure what to do
1343,Eviction,The eviction process
1344,Eviction,60 days notice 
1347,Eviction,Potential eviction for property damage we did not cause
1351,Eviction,Eviction 
1354,Eviction,5 day notice
1360,Eviction,Rent assistant 
1363,Eviction,Eviction help
1369,Eviction,eviction
1371,Eviction,Rental assistance 
1373,Eviction,Eviction 
1387,Eviction,eviction
1389,Eviction,Rental questions 
1390,Eviction,eviction 
1391,Eviction,5 day notice 
1392,Eviction,I am in the ERAP program and my management company is not agreeing for me to stay as a tenant. Is this legal?
1394,Eviction,Eviction
1398,Eviction,Eviction
1399,Eviction,my father wants me to leave his house
1402,Eviction,I’m getting evicted 
1408,Eviction,I received a eviction summons 
1409,Eviction,5 day notice 
1411,Eviction,Eviction 
1413,Eviction,Preventing eviction 
1415,Eviction,Can a working from cha housing evict you with out the cook county sheriff
1423,Eviction,Eviction after receiving ERAP
1442,Eviction,Land lord is telling me to leave with 2 week notice over the ohone
1445,Eviction,Legal help eviction notice 
1447,Eviction,Eviction notice 
1450,Eviction,Landlord refuses to renew my lease and refuses monthly payment
1453,Eviction,rental eviction notice 
1454,Eviction,Eviction 
1455,Eviction,Landlord added lease termination rider to lease on event of property sale.
1456,Eviction,Inspections
1460,Eviction,Can you help me with a landlord that has shut off my electricity in an attempt at illegal eviction when he shut the power off August 15th 2022 and serve me a 5-day notice on August 16th 2022
1464,Eviction,Appeal eviction 
1465,Eviction,I missed my court date for eviction ..what now
1466,Eviction,I missed my eviction court date.
1467,Eviction,I missed my evi tion court date .what happens now
1472,Eviction,Eviction 
1473,Eviction,Eviction 
1474,Eviction,eviction 
1476,Eviction,my landlord is threatening eviction
1480,Eviction,find eviction notice
1488,Eviction,I was served a eviction notice and need help
1490,Eviction,i'm being evicted
1495,Eviction,eviction
1497,Eviction,eviction
1503,Eviction,"Hello, I need assistance with a wrongful termination of my lease. My landlord stated that I violated my lease because I allowed a civilian to enter my home after they was barred. However, I nor the civilian was not aware of being barred. How can I get someone to assist me with my rights on this unfair housing treatment"
1505,Eviction,Tenant needs help with eviction notice
1514,Eviction,Court order of possession 
1515,Eviction,Eviction notice
1518,Eviction,5 day notice 
1519,Eviction,Eviction
1524,Eviction,Eviction 
1532,Eviction,Eviction
1533,Eviction,Eviction 
1541,Eviction,I can’t afford my lease and lost my job. How can I vacate without being evicted?
1544,Eviction,I Received a 10 day eviction from my landlord
1545,Eviction,who do I call if i'm being evicted illegally?
1548,Eviction,Being evicted 
1549,Eviction,I'm being evicted from my apt my family and I need help help  10 s kedzie sàid they only helping  cov people that's not fair I'm going to be in the streets and I'm scared 
1553,Eviction,Eviction
1554,Eviction,"My landlord got papers from the city inspector on a lot of violations on the house we rented and given 30 days to fix them. Nothing got fixed in that time frame and still not fixed. Now he gave us a 5 day eviction notice for non-payment, can he legally evict us"
1556,Eviction,Eviction 
1557,Eviction,eviction
1564,Eviction,Facing eviction and need financial assistance 
1565,Eviction,They are trying to evict me..
1566,Eviction,"My landlord never cashed my rent checks, gave me a 5 day notice, and now I cannot get a hold of them to pay"
1570,Eviction,I'm being evicted 
1572,Eviction,I been served a 5 days notice not in hand but at my doorstep 
1581,Eviction,eviction
1582,Eviction,i am being evicted
1583,Eviction,Evict 
1586,Eviction,eviction removal
1591,Eviction,Eviction
1592,Eviction,Preventing Eviction 
1593,Eviction,Thirty day notice to quit
1595,Eviction,30 day notice to quit 
1596,Eviction,30 day notice to quit
1597,Eviction,Eviction 
1598,Eviction,Eviction 
1599,Eviction,Eviction
1601,Eviction,Eviction 
1603,Eviction,eviction
1604,Eviction,eviction
1617,Eviction,My landlord rented out a. House that was not registered to the coty
1619,Eviction,Got a question
1628,Eviction,Low income housing eviction
1632,Eviction,i have an eviction case and need legal help
1633,Eviction,i need legal help with a Eviction Case
1637,Eviction,My friend was evicted but his belongings are still in his apartment. I'm trying to find a way to collect his things before they are thrown out 
1640,Eviction,Eviction case
1642,Eviction,condo eviction
1643,Eviction,i need to speak with an attorney about a pending eviction 
1647,Eviction,File complaint against landlord 
1654,Eviction,I am currently being evicted. I need helping being able to stay.
1658,Eviction,Need a tenant lawyer 
1659,Eviction,I have a hearing in 2 days for an eviction do I need to get a lawer
1660,Eviction,Eviction
1662,Eviction,Landlord not fulfilling lease 
1666,Eviction,Five day notice 
1671,Eviction,Eviction notice
1672,Eviction,Eviction assistance 
1675,Eviction,Getting  evicted 
1676,Eviction,Eviction summons
1680,Eviction,eviction case
1682,Eviction,Evicion
1690,Eviction,Facing potential eviction
1698,Eviction,I applied for rental assistance and it hasn't come through through and my landlord is threatening eviction if I can't get some kind of confirmation 
1701,Eviction,eviction
1702,Eviction,Eviction 
1709,Eviction,eviction
1711,Eviction,Eviction summons 
1714,Eviction,Help from eviction 
1719,Eviction,I was evicted and locked outside of my aparment
1721,Eviction,How did I get evicted during rental assistance 
1722,Eviction,I got rental assistance but got evicted 
1728,Eviction,Eviction prevention
1729,Eviction,I'm getting evicted
1730,Eviction,Eviction 
1735,Eviction,Eviction 
1736,Eviction,Eviction 
1737,Eviction,Eviction 
1738,Eviction,5 day notice
1739,Eviction,Current tenants don’t want to leave and new tenants are supposed to move in 
1747,Eviction,money
1753,Eviction,eviction
1754,Eviction,The landlord is trying to evict
1758,Eviction,mediation for eviction notice
1759,Eviction,Can sheriff’s evict before court date in Illinois 
1761,Eviction,Eviction Defense
1762,Eviction,I have eviction under my name and I trying to get this paid off
1765,Eviction,About to get put out 
1766,Eviction,Dealing with eviction 
1767,Eviction,Eviction notice served
1772,Eviction,Eviction
1775,Eviction,active eviction case
1778,Eviction,Eviction 
1783,Eviction,My landlord isn’t accepting my money through rental assistance.
1784,Eviction,Eviction claim 
1786,Eviction,Evictions
1789,Eviction,Facing eviction
1790,Eviction,my landlord is kicking me out
1791,Eviction,Eviction 
1792,Eviction,Eviction
1793,Eviction,Eviction
1795,Eviction,Eviction 
1797,Eviction,I am being evicted 
1800,Eviction,eviction
1808,Eviction,Eviction
1810,Eviction,My landlord gave me a 30 day notice to to get out of my house because she is saying the house it was written on a piece of note book paper not no notary seal or nothing and brought it to my house while I wasn't home and gave it to to some one that lives here with me is that legal
1818,Eviction,Eviction
1819,Eviction,Landlord requested immediate removal 
1820,Eviction,Legal help with landlord moving all of my stuff outside
1822,Eviction,Landlord giving less than 60 days notice
1823,Eviction,Verge of eviction 
1825,Eviction,Eviction
1836,Eviction,My management is asking me to move out before lease end date
1840,Eviction,eviction
1844,Eviction,10 day notice
1850,Eviction,I need legal help I'm currently facing an eviction and my trial court date is coming up soon 
1851,Eviction,5 day notice
1856,Eviction,Eviction 
1862,Eviction,Eviction 
1865,Eviction,mediation
1868,Eviction,Removing property after an eviction
1873,Eviction,Landlord told me that I need to leave my apartment due to noise complaints. She also stated if I let voluntary within 3 days I would not be charge my August rent. Nor would I be bond to a new new yearly lease to start in September. However after I evacuated in the 3 days she is trying to charge me for august rent which I was out on the the 1st within the 3 days and a lease buy out for a lease to go from month to month to yearly stating in September 
1875,Eviction,I haven't I have a court date for eviction but the foreclosure has went through already and they have not got back with me since 2 years ago when the apartment was okay then but it was a bad shape now it's a bunch of mold and I don't know what to do it's just messed up down here it's like living and smaller but they never came back
1883,Eviction,Landlord harassing me
1884,Eviction,My landlord has illegally eviction 
1887,Eviction,Lawyer for eviction 
1891,Eviction,Facing a eviction
1893,Eviction,eviction
1901,Eviction,k
1905,Eviction,EVICTION
1906,Eviction,"Our landlord is refusing to receive the rent of August, wanting us to leave the apartment and self evict."
1907,Eviction,Threatened with eviction
1908,Eviction,Landlord is trying to illegally evict me
1909,Eviction,My landlord is not willing to give me my 5-day notice
1913,Eviction,Evuction
1914,Eviction,I’m in the midst of getting evicted
1915,Eviction,eviction
1920,Eviction,Eviction
1922,Eviction,5 day notice
1925,Eviction,5 day letter
1926,Eviction,Eviction 
1928,Eviction,Landlord has filed eviction even though I have been approved for aid
1931,Eviction,Eviction 
1941,Eviction,Eviction notice for my townhome
1942,Eviction,My lease was not renewed. I paid rent online. The rent was not applied to my account. I have a credit. Approximately how much time do I have before an eviction notice will be served.
1945,Eviction,Eviction 
1946,Eviction,eviction
1949,Eviction,Eviction 
1950,Eviction,How can I prevent eviction 
1953,Eviction,Information about evictions
1955,Eviction,I need help with my eviction 
1956,Eviction,Preventing an eviction 
1957,Eviction,Prevent eviction 
1958,Eviction,Legal aide for eviction court
1959,Eviction,Eviction
1962,Eviction,I got evicted and had covid during the month long evection and wasn't able to get a new place due to quarantine 
1981,Eviction,eviction
1990,Eviction,Can my landlord extend my lease and charge me if I'm unployed 
1993,Eviction,I need help negotiating with my landlord 
1995,Eviction,Eviction
1996,Eviction,eviction court date
1998,Eviction,Eviction 
2002,Eviction,eviction help
2003,Eviction,Eviction
2006,Eviction,Can I pay rent during eviction process
2014,Eviction,Facing eviction 
2016,Eviction,Need eviction help
2021,Eviction,Eviction help 
2024,Eviction,eviction summons
2030,Eviction,eviction
2031,Eviction,wviction
2032,Eviction,Retaliatory Unlawful Detainer
2033,Eviction,Retaliatory Unlawful Detainer case
2035,Eviction,Eviction 
2037,Eviction,Hey I’m trying to see if I get help for my rent because of my Eviction notice
2039,Eviction,Eviction 
2041,Eviction,I just received an eviction court date
2043,Eviction,Eviction case
2046,Eviction,I am facing eviction that will cause homelessness please assist
2047,Eviction,I'm being evicted 
2048,Eviction,Eviction
2055,Eviction,My landlord is trying to invict me 
2057,Eviction,My landlord is attempting to evict me for an unclean residence
2058,Eviction,Eviction 
2061,Eviction,I was wanting help on rental assistance such as a disbute 
2063,Eviction,Eviction 
2074,Eviction,Eviction
2075,Eviction,I am being evicted 
2076,Eviction,new landlords terminating lease agreement
2078,Eviction,eviction
2079,Eviction,Eviction mental illness
2083,Eviction,I need help with an eviction
2085,Eviction,I need rental assistance. I am facing eviction 
2091,Eviction,I'm being evicted
2093,Eviction,eviction notice
2101,Eviction,Facing eviction 
2103,Eviction,Eviction 
2107,Eviction,I got a notice to appear in court
2109,Eviction,eviction laws
2119,Eviction,5 day notice
2121,Eviction,Eviction 
2126,Eviction,I am getting evicted but want to spend 1 more year
2128,Eviction,Finding a place to live
2130,Eviction,legal advice
2132,Eviction,I'm about to be evicted soon
2134,Eviction,active eviction
2137,Eviction,My landlord is selling the building and I can't find another place to live
2142,Eviction,Eviction court help
2147,Eviction,How many months can you miss before you are out on the eviction list?
2148,Eviction,Facing eviction 
2149,Eviction,What to do if my landlord knows I’m on a rental assistance list and still trying to evict me
2154,Eviction,I'm getting evicted
2156,Eviction,Eviction 
2158,Eviction,I am being evicted 
2162,Eviction,Housing 
2164,Eviction,eviction
2171,Eviction,Eviction help 
2172,Eviction,eviction legal aid
2175,Eviction,FAIR NOTICE ORDINANCE
2176,Eviction,FAIR NOTICE ORDINANCE
2177,Eviction,Can my landlord evict me because they refuse to allow me to resign the lease?
2179,Eviction,Landlord trying to evict
2181,Eviction,I was evicted
2182,Eviction,I would like to schedule a intake interview for free eviction defense assistance
2185,Eviction,eviction
2186,Eviction,risk of eviction
2189,Eviction,"I need a Lawyer to assist with my Eviction Court this Wednesday, July 27, 2022 at 10:00 a.m. CST Courtroom 1302"
2207,Eviction,eviction trial today
2208,Eviction,eviction
2209,Eviction,false eviction
2215,Eviction,Eviction notice
2217,Eviction,Can I feel out eviction papers on line
2222,Eviction,Landlord wants to evict us 
2223,Eviction,My landlord is threatening to file an eviction 
2226,Eviction,"I’m about to be homeless and I applied for rental assistance wayyy in February and was approved, but my status is still saying applied , my name is Annette Burns-Crittle, 11620 S Princeton Ave, Chicago Illinois 60628 , 312-493-1925 please if you can help my assess no. is afccdc-422"
2227,Eviction,I'm being evicted
2239,Eviction,10 day notice
2241,Eviction,"Wrongful ForeClosure, Need to stop sale and eviction in Mississippi"
