,@mattertype,@welcome
1058,No Match,"I have multiple issues. I rent through Mac properties. They have lied to me multiple times and inconvenienced me to the point where I need a lawyer because I was just lied to again. I moved out of my old apartment in June, my roommate said they found a new roommate and would handle the tenant change. I went to the Mac office and confirmed the Tennet change. They told me I was good to go. Now its almost 4 months later and I am still on the old lease. My old roommate is always late on rent and now it's affecting me and my girlfriend. Because we rent with Mac properties at our new apartment and im on both leases still for some reason, they told us we can only pay with a money order because of multiple late payments (this was from my old roommate at the apartment I haven't lived in for 4 months. I called Mac and explained the situation they assured me I would be removed from the old lease by Tuesday. It's now Wednesday and I'm still on the old lease. All I want is to be removed off of the apartment I haven't lived in for 4 months and to be able to make online payments again. They've told me I would be removed from the old lease multiple times now and its not happening "
1059,No Match,Squatters right 
1062,No Match,Need to find help finding new home
1068,No Match,Foreclosure 
1071,No Match,I have a question with regards to my lease before I sign of the
1092,No Match,"I'm having problems with my landlord who is locking the main entry door to get to my apartment. She is shutting down the water,turned off the wifi, and has been verbally harassing me and my son who lives with me. And now she's sending me threatening text messages. What can I do"
1102,No Match,Lease auto renew
1107,No Match,Can my landlord cancel my lease without my knowledge?
1127,No Match,Probate
1151,No Match,Rodent issue 
1157,No Match,Lease renewal
1184,No Match,Non renewal of lease 
1186,No Match,Landlord Harassment
1209,No Match,Payments
1225,No Match,Esp
1230,No Match,Landlord won't say if she is renewing my yearly lease which ends next month
1240,No Match,"I own property and am being discriminated because of that fact. ___I am in Chicago IL and need to look up my home address where I live. I encountered a representative of All Chicago a housing group here in Chicago IL and they have placed myself in the wrong apartment. I come to Chicago IL once usually every 12 to 14 years and I can not remember my physical address where I live in Chicago Illinois. I was placed in a shelter by The City of Chicago, IL here in Uptown Chicago, Northside Housing of Ravenswood and Lawrence. I am trying to find out what my address is.___I own property and these poor people that work for the city/county/state cannot look up my address where I live because they are not responsible enough to have knowledge of such things. So these irresponsible workers placed myself in the wrong apt. on purpose. Who do I need to communicate with? "
1241,No Match,"I own property and am being discriminated because of that fact. ___I am in Chicago IL and need to look up my home address where I live. I encountered a representative of All Chicago a housing group here in Chicago IL and they have placed myself in the wrong apartment. I come to Chicago IL once usually every 12 to 14 years and I can not remember my physical address where I live in Chicago Illinois. I was placed in a shelter by The City of Chicago, IL here in Uptown Chicago, Northside Housing of Ravenswood and Lawrence. I am trying to find out what my address is.___I own property and these poor people that work for the city/county/state cannot look up my address where I live because they are not responsible enough to have knowledge of such things. So these irresponsible workers placed myself in the wrong apt. on purpose. Who do I need to communicate with? "
1247,No Match,Landlord gave me collection notice for past rent but I'm still a tenant with no eviction notice.
1263,No Match,I need consultation on tenant rights
1276,No Match,Break lease
1277,No Match,I am a tenant and just received my new lease and there are errors and conflicting conditions throughout it. I don't feel comfortable signing without assistance. 
1309,No Match,HOA not disclosed
1311,No Match,define guest
1316,No Match,hhgfh
1323,No Match,terminate a lease before moving in
1326,No Match,I was harassed by the city of rockford and the city came in and did an inspection and told my landlord everything that needed to be done and gave him a certain amount of time my daughter was killed on July 22nd and on July 26th the city busted open my door and search my house and boarded up my house and locked me out they did get a administrative warrant but why would you need a warrant when you already was let in to do an inspection so I need to get some legal help
1357,No Match,how to write an initial complaint against my landlord
1375,No Match,Condo bylaws
1381,No Match,"I had applied for rental asstance through Mt.Carmelchildren of God Baptist Church in Chicago.I was approved for $9,720.00 in March and my property managment never put on my account . So when I continued to call property manger Nicole Parker at Oakwood Shores Apartments IDHS was notified and a check was reissued at the begining of August 2022 but I still have not been notified if Oakwood Shoes have recieved it yet to be out on my account.  Now I have been told that they have begin to send out eviction notices I'm contacting you to ask for your help .My phone number is 773-632-6054 My name is Letitia Thurmond I really need some intervention in this matter.Thanking you in advance Letitia Thurmond"
1403,No Match,Eligibility documents
1404,No Match,"Hello,"
1433,No Match,Homeless
1440,No Match,Harassment
1449,No Match,Esa
1451,No Match,My landlord has not been paying the taxes on the property I live in 
1536,No Match,If you are on section 8 are you suppose to give the landlord a 30 day notice that you are moving or when getting you intent to vacate paper signed is that the 30 day notice?
1538,No Match,Apartment after eviction
1540,No Match,Over False complaint my landlord wants me to move out  
1547,No Match,mutual termination of lease
1600,No Match,Esp
1608,No Match,Burglary after landlord didn’t change or rekey locks
1609,No Match,ESP
1645,No Match,Executing buy out clause in lease
1653,No Match,Homelessness 
1668,No Match,esp 
1674,No Match,i need to break my lease due to disability concerns. what are my options?
1686,No Match,Money
1688,No Match,"I had a tough situation in my most recent apt. (room rental).  The building seemed about to crumble.  There was overheating and no ac in my room.  The landlords were unpleasant and I'm afraid they were stealing some of my mail or sneaking into my room when I wasn't home, using it, and key-passing to other tenants.  Also, I am now left without a mailing address and need to open a new po box, possibly private, in my name, and go through change-of-(mailing) address again at PO.  I left my room finally, and did not return to that place I rented and paid, myself for the last nine or ten months.  My belongings were left there, too.  Although I left myself, without emergency assistance, or notifying anyone, I lost alot of money with improvements"
1699,No Match,Hi Can you send me an answer and counterclaim for for eviction
1741,No Match,Breaking lease
1749,No Match,Landlord is receiving money from city and is still wanting to evict me
1776,No Match,My landlord does not want to rent to me anymore being that my boyfriend moved out. 
1794,No Match,bad debt
1832,No Match,sue
1845,No Match,Fair market rent
1858,No Match,My landlord is demanding me to move out without going to court and etc. Due to me asking her to do some repairs to the house I'm currently renting from her after she received money from the state to help me get back on track due to the pandemic. Also I'm currently on Disability. 
1860,No Match,Does CHA and Hud adhere to Chicago Rental  Rules ands laws
1869,No Match,How many hours can the landlord cut power for repairs
1877,No Match,Illegal clause in lease
1894,No Match,harrassment by another tenant
1898,No Match,"i was going to evict a tenant and filed an eviction summons with the court. however, the tenant has since moved out and the courts gave us an appointment for september 9th. i want to drop the summons, how do i go about cancelling this appointmnet. i contacted the court but they do not respond"
1900,No Match,i  found out that were i was paaying rent was condemmed may2021
1927,No Match,Learn
1933,No Match,Trying to find lawyer 
1971,No Match,"""My landlord sent notice that he is raising my rent, but he did not specify by how much. Does the fair notice ordinance require that the landlord specify what the new rent will be in order to give proper notice?"
1975,No Match,"My landlord sent notice that he is raising my rent, but he did not specify by how much. Does the fair notice ordinance require that the landlord specify what the new rent will be in order to give proper notice?"
1976,No Match,fair notice
1985,No Match,does the tenant ordinance require a specific amount that rent will be raised?
1989,No Match,LATE FEES
1994,No Match,"My landlord filed an eviction case against me in May for the month of May. Case was dismissed and sealed on May 19th. The same day my landlord handed me a 5 day notice for June and July. The 5 days has been up last Monday, July 25th. The clerks office told me today there's no record stating my landlord filed a new eviction case. Can I just pay my landlord for June, July"
1999,No Match,Esp
2004,No Match,I need to sue my landlord
2018,No Match,Can my landlord put my contact info when he is selling the building
2051,No Match,"What should i do,I pay my rent on time and this apartment is infested with mouse.i have gotten sick in this apartment.now the landlord is trying to sale the building.i have been back and forth to the Dr."
2054,No Match,"Can I deduct uncompensated services from rent? On March 20th of this year a water main ruptured 3 feet from my unit, destroying the basement, rendering the unit uninhabitable. I returned on May 15th even though I had paid at another location until July 1st, due to the fact that the date for move in changed multiple times in the  2 months we were out of the unit. Part of my lease includes that I maintain lawn from April through October and snow November through March, in exchange for the basement connecting to my unit. As per my lease I mowed the lawn April and May and once in June. The owners of the unit promised that the wall in the basement would be restored so I could have security to the area I am renting. It never happened. They recently sent me an email requesting I perform certain actions, and terminating the rider pertaining to use of the basement, on the grounds that I have been deficient in my duties. I replied with an email asking for a meeting on the matter. I detailed that I would comply with all their demands with the exception of moving their property which I didn't remove. I detailed why I haven been deficient, if anything, they did not make all efforts to deliver their end of the contract. That I performed my contracted obligation without compensation. I also made it clear in writing what my wife has communicated verbally, that at least one of the owners has a personal problem with us.  2 minutes after I sent the email that owner called me telling me my wife was lying to me about their interaction. I felt, and told him he was being aggressive and ignoring the point of the email which was to address some concerns I have and request a meeting. The next day I was informed that they would not be allowing me to stay after my lease expires at the end of August. To compensate for the short notice they will allow me to stay 1 extra month. If you look at the history of communication between us I have been nothing but compliant, and helpful. I believe this is retaliation for asking for the meeting. I believe this and the messages sent in which they lied to intimidate us, by claiming that if the local municipal police arrest me ( for what reason I don't know) then that the municipal police will evict me on the spot in addition to other things, such as taking 2 months to repair a leak in to my bedroom from the bathroom of the above unit, is evidence of unacceptable treatment. So now I don't trust them to treat me fair, and I am afraid they will try to take my entire security deposit and not compensate me for the unpaid lawn services. I am currently unemployed and broke. Is there any way I can protect myself?"
2060,No Match,c
2067,No Match,unauthorized fee
2081,No Match,my friend had an issue of an outlet in the apartment she rents out(electrical work) and she repaired it with her father. It has been 3 months and Aug will be the 4th month that Section 8 has not paid her. She doesn't know what to do or whom to contact. 
2087,No Match,in chicago after sheriff has been out how many days or hours do i have to get my stuff
2089,No Match,Breaking a lease
2102,No Match,I need a home
2117,No Match,60429
2123,No Match,Contact number 
2124,No Match,Motion
2151,No Match,Landlord Retaliation
2152,No Match,Are landlords required to provide air conditiong
2155,No Match,is the landlord required to provide air conditioning 
2168,No Match,"I am 73 years old I was living with my father in law who pass away in june, the landlord who I paid rent to now wants me out by the end of the week, can he do this without taking legal action "
2183,No Match,i need a lawyer
2184,No Match,Breaking the Lease
2190,No Match,represalias del dueno
2200,No Match,Review lease
2203,No Match,My neighbor plays their music box extremely loud every day and night into the early AM hours.. They recently moved into the building about 2 months ago. I have reported it to both property management and the police and nothing has been resolved concerning this matter. What else can I do about this matter? 
2214,No Match,Homeless
2232,No Match,I want to get some
2237,No Match,"Hi, my name is Brenda, my lease doesn't expirier "
2246,No Match,Lease end
2263,No Match,Can you help me in the state of Texas?
2264,No Match,Our pool has been closed. Am I owned reduction in rent?
2265,No Match,landlord intimidation
2271,No Match,lease renewal rules
2275,No Match,My landlord states he is selling the house I rent and needs me out in 4 days 
2278,No Match,Landlord requesting money
2280,No Match,Landlord didn't list apartment
2297,No Match,Is there anyone I can ask to look pver my lease? I don’t understand the way it’s written
2299,No Match,Landlord issue
2304,No Match,"We need a bigger house but still have 7 months left on the lease. If my landlord has a bigger house, can i transfer the lease over to the new house?"
2306,No Match,hi
2340,No Match,I'm being harassed by a tenant. I'm doing the right thing and don't want to move
2359,No Match,Failure to disclose 
2398,No Match,"Hi, I have an outstanding balance with my previous landlord due to losing my job and when I started working again, it all went to other bills and rent to stay where I’m living with a family member. But since I still have an outstanding balance on my account, and I need to move out by sFall, I’m not sure what to do"
2403,No Match,Discrimination  
2404,No Match,Renter's insurance 
2407,No Match,Lease renewal
2422,No Match,A former landlord falsely submitted my information to a collection agency
2423,No Match,Can a landlord add a charge for pets if you've not been charged when moving in
2442,No Match,"I have been approved for theEARP program but I have gotten approved for the wrong address, how can I have those funds come to my.current address "
2462,No Match,"I have lived in my apartment for 13 years with various amounts of income and even unemployed at times, however I paid my rent. After resigning my lease with no questions asked, my landlord os now demanding that I show proof of income making 3x rent and needing a consigner, otherwise they will not renew my lease. I am looking for some sort of legal backing or advice. Thank you."
2479,No Match,Cure letter
2480,No Match,How long is a voluntary dismissal without prejudice good for in florida
2483,No Match,Fair Notice ordinance 
2504,No Match,List
2546,No Match,Landlord harassment
2566,No Match,I wasn’t told all of the fees up front
2567,No Match,I received rental assistance but my landlord sent it back 
2603,No Match,Aquiring a lawyer for a housing discrimination case 
2605,No Match,"Hello. My lease for a unit in Chicago  states that I am not allowed to sublet. After some research I know that this is untrue within the city. I am wondering if the inclusion of this makes my lease void? There is also a clause in my lease stating the following: Severability. If any provision of this Agreement is held to be invalid, illegal or unenforceable in whole or in part, the remaining provisions shall not be affected and shall continue to be valid, legal and enforceable as though the invalid, illegal or unenforceable part had not been included in this Agreement."
2615,No Match,Homeless 
2617,No Match,Landlord coming into house without permission or notices
2625,No Match,nails in wall
2626,No Match,Can a tenant drill into a wall to hang pictures without written consent?
2652,No Match,I have one or two neighbors that are heavy smokers and I am getting their second hand smoke really bad. What can I do?
2664,No Match,Discrimination and violence in the property
2669,No Match,I am currently on Hud's section 236. I haven't had a lease in two years and Hud's tenant's rights says that accurate account of my income should be documented so that I'm charged the right amount for rent (which is between base and market rent). The recertification person refuses to check my income and the landlord/recertification specialist is trying to force me to sign a lease for market rent and i haven't had a lease in two years. I was served a determination of tendacy in March due to no rent being paid while waiting to meet the specialist since December of 2021. I changed from Section 8 to section 236 due to the landlord explaining that section 8 only helped women with children once their job status changed. If I moved to section 236 my rent would not go above market rent even when I made more. My current wages are less before I signed to section 236 (which was before the pandemic). I have been unemployed multiple times and have kept my market rent paid until recently. What actions should I take next?
2680,No Match,My mother been trying to add me to the lease for three years and housing kept denying me and saying that the apartment would be overcrowded when it's a two-bedroom apartment now my mother's deceased and I'm backed up in rent I don't know what to do I've been trying to do the grievance they keep saying they don't have no appointments they're very busy so I really don't know what to do
2685,No Match,Find permanent housing 
2718,No Match,Kouri
2724,No Match,Move in fee
2750,No Match,report landlord
2760,No Match,Free lawyer
2764,No Match,board director
2819,No Match, I came along some information saying that the city of Chicago is reimbursing residents for security cameras. Is that true?   How does that work?
2838,No Match,We live in Kane county Illinois we went to trial yesterday for eviction and the judge would not let us present all our evidence proving that the landlord was evicting us because we made complaints about repairs he would not fix is there anything we can do about it
2848,No Match,Erase eviction 
2860,No Match,Lease not renewed 
2868,No Match,I want to erase a prior eviction
2882,No Match,Eviction 
2908,No Match,at-will-tenant
2915,No Match,Denied application because family members live in same trailer park
2940,No Match,I just found out that I am paying for the electricity in the shared spaces and the washer and dryer for the last 10 years. I am not sure what to do or what is possible
2962,No Match,"A few months ago, it was really windy. When I left, I’m assuming the screen door did not latch and the wind was swinging the door open and close for several hours causing damage. The landlord is stating that I need to pay for a replacement or it will be taken out of my security deposit before the remainder is issued to me. I’m inquiring about if I am liable for the damage to the door when the cause of loss is wind?"
2967,No Match,I was put out lost all my belongings I absolutely have nothing homeless with 3 children I am a valid section8 recipient and was thrown out illegally 
2972,No Match,Emp phone number 
2976,No Match,Entry violation
2990,No Match,Dust
2992,No Match,Negotiate with landlord
3004,No Match,Help with lawyer 
3006,No Match,I need to break my lease and I don't know how much the landlord can charge me. She said I would lose my security deposit AND the remaining rent for the remainder of the lease. I have a copy of the lease and I am having trouble reading the section on termination of the lease. Can she charge that much?
3047,No Match,Told LL we would be out at end of month but haven't found a new place always pay rent and have been here 4 years can he make us move 
3061,No Match,Pet issue
3069,No Match,My neighbors son who has an mental illness is Trespassing
3072,No Match,illegal lease
3078,No Match,Rodents
3083,No Match,"I am looking to move out of my current place on June 30th. I will not owe any rent or any fees by then. However, the building property management that manages my building charged me $2600 for not letting them know sooner that I am moving out, keeping in mind I only have a one-year lease with them that finishes June 30th. I have let them know I am not paying any fees that aren't related to rent and they threatening to report the fee to the credit bureau.   My concern now is, that I am trying to prevent that from happening and if it did I will like to sue them for damaging my credit. With that said, I am seeking legal advice and help. So, I was wondering If anyone can help me with this. I look forward to hearing from you. Thank you."
3096,No Match,"I need help cause my landlord is retaliating with me and breaking all types of renters laws. He moves more and more people in all the time, and yet never lowers rent. He is trying push me out. And he attacks me verbally and by texting. And threatens to throw me out even though I am paid up on rent."
3100,No Match,landlord wants us to pay for wear and tear
3140,No Match,i have a friend she  received a notice to move out she is scare that they are going to take her out. She also stated that the landlord as the air conditioner so high that she is freezing and because of that she has bronchitis and that the landlord try to go after her and she even called the police to do a police report and the police told her that they can’t do anything. She will like to know what are her right as a tenant.
3141,No Match,I am looking to rent an apartment but the landlord is not providing a refrigerator is he required to provide this appliance? What is the landlord required to provide? 
3154,No Match,My landlord has done three inspections in the last ten days and I want to get out of my lease. 
3172,No Match,laywer
3189,No Match,"One of my neighbors, also a renter in my complex assaulted another neighbor in my yard in September 2021. Last night, this same neighbor assaulted another neighbor of ours and put her in the hospital. She has been making threatening comments to all of us, harrassing and intimidating us since the original issue and I am afraid for my safety and that of my child. What legal recourse do I have?"
3215,No Match,AC replacement 
3229,No Match,review
3261,No Match,Esp 
3263,No Match,I need to talk to a lawyer
3264,No Match,Is this for the Phoenix area?
3275,No Match,I need your help
3307,No Match,Clearing evictions 
3309,No Match,earp
3331,No Match,Landlord requiring renewal 
3335,No Match,Landlord sent us repair bill for washing machine
3349,No Match,credit report negative
3420,No Match,End of lease issue
3423,No Match,housing discrimination
3424,No Match,Finding the break lease clause in my lease
3427,No Match,Loud neigbors
3442,No Match,credit report
3446,No Match,Attorney
3457,No Match,landlord entering unit
3482,No Match,My landlord is saying I owe for water sewerage and garbage bills.
3494,No Match,Homeless prevention 
3527,No Match,New landlord owner and lease questions
3554,No Match,Noisy neighbors
3576,No Match,"my contract is up for renewal and i have not signed the lease because it is in english and i asked someone to translate it for me. My landlord shut off my gas. I dont think the landlord wants me to have my own gas account because his house is not an apartment complex with separate meters, yet he wants me to pay for this utility.The reason i took a while to sign the new lease is because i live in a house not an apartment complex and the landlord expects me to pay for gas on the first floor and basement. i told him i dont want to pay for gas in the basement because i dont live in the basement, i only occupy the first floor. The landlord shut off my gas. "
3579,No Match,Removing eviction
3583,No Match,Show list
3585,No Match,"I am renting a building to run my business in the buildings store front. A few months ago on the second floor a pipe burst and sewage and water got into my store and ruined my inventory. I terminated my lease early becuase I did not like how the property owners handled the situation. the property management company refused to do anything about it. I am being told that they are not going to give us back our deposit because the least we have with the building is ending early, despite at the offer of the property management company themselves. I want to recieve my security deposit."
3620,No Match,Fraudulent charges to my account with 
3624,No Match,I need help locating a two bedroom apt Northside Cha voucher
3628,No Match,help
3630,No Match,how do i efile documents?
3646,No Match,Rental assistance issue
3663,No Match,My property manager just said she would not renew my lease that is up 7/31/22. I have lived here 27 years and cannot afford to move.
3668,No Match,Subletting 
3679,No Match,I want to get out of my lease
3688,No Match,landlord camera
3691,No Match,pictures for real estate 
3692,No Match,my landlord is making me sign a new contract and is asking me about my immigration status. is this allowed? 
3693,No Match,My landlord wants me to pay gas utility but I worry he is going to make me pay for another units utility and it is not fair. How can I be sure I am charged only for my usage. 
3703,No Match,I believe i have been discriminated against 
3707,No Match,Major plumbing problem uninhabitable can my mother move somewhere else she has been there less than a week
3732,No Match,Apartment viewings due to owner selling the buildng
3737,No Match,Discrimination 
3739,No Match,Burglary 
3753,No Match,File a motion on my own
3754,No Match,Freeze 
3767,No Match,3129569231
3772,No Match,Removing someone from my home 
3785,No Match,lease in spanish
3790,No Match,Carpet replacement
3801,No Match,Help
3808,No Match,I have not yet found a place to move and I am afraid that he will try to lock me out of my apartment what can I tell him my rights are to stay for at least one more month to find a place
3820,No Match,Today is the last day of my lease and my landlord has not taken my rent for the past four months
3830,No Match,New owner of building
3850,No Match,I am homeless 
3858,No Match,Rights 
3878,No Match,"My apartment is uninhabitable due to my landlord performing illegal demolition in the unit below me. The city shut him down for ripping out the ceiling (below my floor) without a permit. The work immediately ceased, but the holes in the unit below's ceiling is blowing irritants/contaminants into my unit. I have severe respiratory conditions and have been unable to live in my unit. I have been staying with friends but it is no longer sustainable. My landlord won't respond, is he responsible to put me up in a hotel, since the unit is uninhabitable due to his illegal construction?"
3899,No Match,Tenant rights
3901,No Match,Steven Jackson
3907,No Match,I was just accepted as a tenant  to  rent an
3911,No Match,"We signed a lease to start 5/25. The apartment was listed and verified by the landlord that the unit included additional storage in the basement. This is also mentioned in our lease. On 5/25, once we got the keys, the landlord/owner let us know the additional storage will not be available to us. This was a big feature for us and a key reason we picked the place. Today 5/27, the landlord offered to break the lease, he said he'd give us back our deposit but we'd forfeit our first month's rent. Since he broke the terms of our lease by rescinding the amenity listed in our lease, are we legally owed our full rent back?"
3914,No Match,find a new place to live
3916,No Match,"Hello. We signed a lease for a unit that the landlord/owner said came with additional storage in the basement. This was high on our priorities, so we verified several times that the storage would be available to us when the landlord moves out. We were told it would be, and our lease indicates the storage space will be for our use. We signed the lease, paid our deposit, and have begun moving in. Our lease started 5/25. We were told on 5/25 that the offer of the additional storage is no longer available. On 5/27, we requested to break the lease, as the storage is important to us and it is in our lease that we can have it. They agreed to break the lease and return our deposit, but not our first months rent. Since it's in our lease that the storage is ours and they then rescinded it, are they obligated to return our first months rent?"
3919,No Match,"Our lease for our new apartment started 5/25. By 5/27, we realized there was an issue with the unit that the landlord wasn't interested in fixing and was not legally obligated to do so. He agreed to break our lease, but said we would not get our $1,925 rent back for the month, even though we hadn't moved our belongings in yet and it's only been two days. Is he required to return our rent to us?"
3922,No Match,Landlord wants to buy out the lease
3932,No Match,forced renewal
3935,No Match,my landlord says he will not accept rental assistance
3943,No Match,I need a lawyer to represent my rights under homeless prevention situation.
3964,No Match,I need help finding a legal rent increase sample letter. I do not want to evict my tenants but I do want to follow the Fair Notice Ordinance
3967,No Match,My landlord removed my items from the basement without any notification and she is not trying to pay me back
4000,No Match,Landlord intends to violate ERAP requirements
4002,No Match,Notice
4005,No Match,Tenant rights 
4009,No Match,"I am aware of  the fair notice ordinance but I am confused with when this applies. My landlord wants to raise rent can they do it whenever during a lease as long as I receive sufficient notice, or can they only give me the notice when my lease is up for renewal. Also, what kind of information should my notice have for it to be legit? "
4014,No Match,I was dealing with a housing issue with the you I see Illinois Chicago Legal Clinic and they recommended that I contact your organization my issue was concerning the c h a I am a housing Choice voucher recipient however the situation with my voucher is out of control with my financial circumstance I am paying too much to survive financially can you help
4015,No Match,Hello
4021,No Match,Nonrenewel
4027,No Match,Long term air bnb
4052,No Match,Can I stay after my lease ends?
4059,No Match,automatic lease renewal
4063,No Match,Esp
4074,No Match,leases
4086,No Match,When does a lease become valid in Illinois? Upon tenants signing?
4087,No Match,Ending a lease
4091,No Match,can a landlord charge me a move in fee and security deposit? 
4092,No Match,I am assisting a homeowner with squatters.  I do not see this situation in your forms or Checklist. 
4096,No Match,Landlord retaliation
4112,No Match,Esp
4121,No Match,"Our landlord told us the apartment would be renovated before we moved in. The day our lease started, we did not have water or plumbing and conditions were not livable. Since then we have been having to live in the apartment while renovations take place, and it’s been our responsibility to coordinate with the maintenance guy who is doing the renovation. They only got plumbing working and conditions haven’t improved since then. We would like to know what our rights are in order to move out and receive our money back."
4122,No Match,Show list
4129,No Match,Landlord denying Emotional support animal 
